county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Sumter,Alabama,13730,13490,13440,13394,13270,13206,12967,12749,12634,12427,20200301
Talladega,Alabama,82172,81863,82146,81578,81512,81128,80552,80142,80137,79978,20200301
Tallapoosa,Alabama,41476,41402,41048,41028,40884,40605,40586,40613,40535,40367,20200301
Tuscaloosa,Alabama,194996,196745,198807,201084,203086,204767,206464,207618,208319,209355,20200301
Walker,Alabama,66997,66585,66104,65777,65338,64931,64533,63895,63669,63521,20200301
Washington,Alabama,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326,20200301
Wilcox,Alabama,11560,11438,11302,11145,10946,10896,10844,10691,10599,10373,20200301
Winston,Alabama,24412,24362,24193,24189,24139,23930,23907,23760,23693,23629,20200301
Aleutians East,Alaska,3166,3259,3294,3343,3346,3373,3363,3455,3395,3337,20200301
Aleutians West,Alaska,5559,5582,5676,5777,5822,5781,5705,5729,5640,5634,20200301
Anchorage,Alaska,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000,20200301
Bethel,Alaska,17084,17419,17656,17852,17936,17955,18022,18090,18219,18386,20200301
Bristol Bay,Alaska,1002,1030,979,951,947,904,902,869,880,836,20200301
Denali,Alaska,1835,1872,1908,1943,1916,1933,2055,2084,2032,2097,20200301
Dillingham,Alaska,4850,4947,4949,4978,4983,4988,4970,4940,4991,4916,20200301
Fairbanks North Star,Alaska,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849,20200301
Haines,Alaska,2501,2574,2577,2558,2555,2516,2531,2524,2488,2530,20200301
Hoonah-Angoon,Alaska,2107,2085,2114,2116,2098,2132,2121,2139,2155,2148,20200301
Juneau,Alaska,31387,32161,32384,32594,32481,32615,32412,32098,32037,31974,20200301
Kenai Peninsula,Alaska,55554,56299,56900,57014,57558,58034,58458,58558,58561,58708,20200301
Ketchikan Gateway,Alaska,13573,13674,13729,13722,13802,13702,13707,13834,13856,13901,20200301
Kodiak Island,Alaska,13646,13806,14037,14093,13907,13767,13728,13512,13250,12998,20200301
Kusilvak,Alaska,7467,7651,7794,7974,8100,8194,8181,8236,8323,8314,20200301
Lake and Peninsula,Alaska,1639,1649,1649,1667,1647,1595,1600,1612,1596,1592,20200301
Matanuska-Susitna,Alaska,89732,91725,93677,95880,98103,101062,104119,106232,107115,108317,20200301
Nome,Alaska,9543,9776,9824,9852,9810,9893,9966,10025,10053,10004,20200301
North Slope,Alaska,9478,9554,9698,9792,9776,9788,9694,9795,9850,9832,20200301
Northwest Arctic,Alaska,7560,7705,7705,7725,7772,7772,7691,7795,7694,7621,20200301
Petersburg,Alaska,3219,3255,3277,3291,3261,3253,3260,3264,3244,3266,20200301
Prince of Wales-Hyder,Alaska,6211,6373,6423,6446,6463,6508,6519,6444,6360,6203,20200301
Sitka,Alaska,8881,8884,9017,8973,8838,8778,8736,8641,8554,8493,20200301
Skagway Municipality,Alaska,968,962,998,1026,1054,1088,1132,1167,1169,1183,20200301
Southeast Fairbanks,Alaska,7061,7150,7172,6986,6925,6812,6857,6892,6937,6893,20200301
Valdez-Cordova,Alaska,9657,9740,9734,9781,9478,9319,9314,9220,9161,9202,20200301
Wrangell,Alaska,2371,2394,2420,2448,2441,2453,2496,2521,2538,2502,20200301
Yakutat City,Alaska,662,656,664,651,655,635,612,602,596,579,20200301
Yukon-Koyukuk,Alaska,5612,5629,5622,5560,5462,5465,5423,5409,5359,5230,20200301
Apache,Arizona,71829,72182,72229,72322,71796,71012,71381,71545,71731,71887,20200301
Cochise,Arizona,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922,20200301
Coconino,Arizona,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476,20200301
Gila,Arizona,53561,53440,52994,53005,53044,52978,53356,53578,53801,54018,20200301
Graham,Arizona,37152,37126,37015,37433,38099,37860,37807,37481,37995,38837,20200301
Greenlee,Arizona,8339,8585,8764,8916,9349,9577,9643,9443,9448,9498,20200301
La Paz,Arizona,20497,20604,20521,20522,20516,20466,20648,20706,21039,21108,20200301
Maricopa,Arizona,3825110,3874996,3947505,4017723,4093648,4172905,4256143,4327184,4402403,4485414,20200301
Mohave,Arizona,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181,20200301
Navajo,Arizona,107697,107552,107313,107135,107701,107638,108467,109079,110242,110924,20200301
Pima,Arizona,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279,20200301
Pinal,Arizona,379094,378041,382251,385398,395322,405614,417193,431564,446806,462789,20200301
Santa Cruz,Arizona,47415,47667,47359,46939,46636,46542,46400,46566,46395,46498,20200301
Yavapai,Arizona,210983,211044,211990,214421,217716,220805,224575,228082,231772,235099,20200301
Yuma,Arizona,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787,20200301
Arkansas,Arkansas,19009,18871,18964,18755,18479,18330,18154,17872,17726,17486,20200301
Ashley,Arkansas,21829,21673,21515,21278,20956,20838,20530,20311,20012,19657,20200301
Baxter,Arkansas,41510,41349,41080,40983,40888,41138,41131,41308,41624,41932,20200301
Benton,Arkansas,222593,229171,234938,239461,244841,251591,259212,266585,272266,279141,20200301
Boone,Arkansas,36893,37086,37333,37328,37116,37119,37259,37459,37385,37432,20200301
Bradley,Arkansas,11470,11432,11266,11120,11007,10999,10959,10813,10838,10763,20200301
