county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Ware,Georgia,36308,36274,35893,35743,35513,35327,35648,35668,35587,35734,20200301
Warren,Georgia,5782,5677,5544,5518,5458,5374,5345,5265,5247,5254,20200301
Washington,Georgia,21093,20969,20790,20573,20548,20736,20347,20311,20410,20374,20200301
Wayne,Georgia,30074,30294,30320,29990,29891,29430,29974,29797,29810,29927,20200301
Webster,Georgia,2781,2764,2765,2669,2611,2631,2616,2589,2606,2607,20200301
Wheeler,Georgia,7769,8079,7933,7935,7984,7911,8015,7960,7898,7855,20200301
White,Georgia,27203,27401,27626,27830,28021,28387,28828,29445,29988,30798,20200301
Whitfield,Georgia,102745,102920,102948,102728,103083,103669,104406,104234,104249,104628,20200301
Wilcox,Georgia,9314,9252,9074,9061,8937,9024,8841,8791,8827,8635,20200301
Wilkes,Georgia,10388,10229,10086,9920,9949,9911,9809,9860,9864,9777,20200301
Wilkinson,Georgia,9529,9416,9484,9363,9284,9080,9020,8954,9043,8954,20200301
Worth,Georgia,21692,21512,21349,21052,21006,20688,20703,20528,20302,20247,20200301
Hawaii,Hawaii,185363,187079,189161,191459,193711,195975,198316,199981,201509,201513,20200301
Honolulu,Hawaii,956285,967336,977994,986059,987414,991064,992268,986353,979858,974563,20200301
Kalawao,Hawaii,90,90,89,89,89,88,88,86,86,86,20200301
Kauai,Hawaii,67205,67888,68671,69632,70288,71021,71537,71827,72168,72293,20200301
Maui,Hawaii,155020,156936,158889,161004,163036,163904,165350,166146,166972,167417,20200301
Ada,Idaho,393354,401262,408862,415951,425471,432862,444486,456548,468764,481587,20200301
Adams,Idaho,3962,3981,3908,3863,3883,3891,3941,4127,4234,4294,20200301
Bannock,Idaho,83020,83641,83755,83455,83536,84184,84676,85482,86674,87808,20200301
Bear Lake,Idaho,5969,5956,5892,5948,5926,5879,5927,6023,6044,6125,20200301
Benewah,Idaho,9290,9173,9126,9030,9032,8996,9021,9157,9218,9298,20200301
Bingham,Idaho,45765,45893,45510,45423,45214,45057,45315,45884,46129,46811,20200301
Blaine,Idaho,21295,21083,21127,21325,21455,21636,22062,22373,22771,23021,20200301
Boise,Idaho,7005,6986,6790,6720,6779,6963,7095,7347,7655,7831,20200301
Bonner,Idaho,40902,40782,40347,40525,41289,41600,42357,43654,44705,45739,20200301
Bonneville,Idaho,104675,105813,106764,107369,108236,109849,112118,114488,116444,119062,20200301
Boundary,Idaho,10999,10823,10817,10853,10956,11299,11701,11965,12016,12245,20200301
Butte,Idaho,2915,2833,2760,2667,2658,2566,2572,2585,2587,2597,20200301
Camas,Idaho,1116,1115,1085,1043,1054,1070,1082,1096,1121,1106,20200301
Canyon,Idaho,189347,191354,193734,198590,202440,206842,211381,216858,223236,229849,20200301
Caribou,Idaho,6974,6844,6771,6787,6794,6733,6867,6973,7037,7155,20200301
Cassia,Idaho,23080,23106,23263,23344,23503,23499,23479,23650,23791,24030,20200301
Clark,Idaho,980,954,884,879,889,886,870,879,851,845,20200301
Clearwater,Idaho,8727,8609,8579,8568,8561,8554,8651,8646,8758,8756,20200301
Custer,Idaho,4357,4325,4327,4225,4132,4059,4084,4135,4250,4315,20200301
Elmore,Idaho,27121,26221,26287,26267,26226,25826,26137,26881,27362,27511,20200301
Franklin,Idaho,12781,12810,12798,12802,12910,12955,13320,13467,13704,13876,20200301
Fremont,Idaho,13225,13109,12966,12872,12803,12812,12914,13122,13155,13099,20200301
Gem,Idaho,16687,16692,16630,16569,16646,16685,16959,17311,17587,18112,20200301
Gooding,Idaho,15471,15355,15250,15169,15086,15188,15135,15121,15116,15179,20200301
Idaho,Idaho,16310,16462,16444,16249,16275,16301,16236,16373,16476,16667,20200301
Jefferson,Idaho,26223,26313,26641,26804,26944,27127,27830,28439,29405,29871,20200301
Jerome,Idaho,22442,22520,22578,22768,22926,22971,23433,23768,24066,24412,20200301
Kootenai,Idaho,138848,140932,142084,143897,146529,149367,153019,157320,161209,165697,20200301
Latah,Idaho,37255,37855,38094,38220,38517,38796,39050,39741,39829,40108,20200301
Lemhi,Idaho,7953,7986,7768,7716,7724,7737,7709,7829,7932,8027,20200301
Lewis,Idaho,3820,3806,3820,3805,3813,3791,3846,3884,3832,3838,20200301
Lincoln,Idaho,5206,5132,5262,5329,5331,5307,5303,5376,5398,5366,20200301
Madison,Idaho,37592,37908,37662,37527,37900,37989,38972,39370,39261,39907,20200301
Minidoka,Idaho,20083,20207,20152,20400,20339,20430,20613,20722,20719,21039,20200301
Nez Perce,Idaho,39315,39438,39504,39798,39841,39995,40136,40289,40256,40408,20200301
Oneida,Idaho,4290,4233,4225,4257,4178,4248,4296,4389,4462,4531,20200301
Owyhee,Idaho,11473,11376,11409,11394,11288,11288,11364,11618,11669,11823,20200301
Payette,Idaho,22637,22547,22675,22550,22754,22790,22888,23163,23507,23951,20200301
Power,Idaho,7872,7780,7830,7791,7729,7687,7681,7606,7700,7681,20200301
Shoshone,Idaho,12749,12662,12703,12673,12375,12440,12416,12519,12790,12882,20200301
Teton,Idaho,10151,10161,10125,10399,10436,10725,11165,11445,11651,12142,20200301
Twin Falls,Idaho,77545,78100,78550,79894,80986,82245,83819,85374,86029,86878,20200301
Valley,Idaho,9788,9636,9536,9575,9793,10043,10422,10667,11021,11392,20200301
Washington,Idaho,10177,10136,10030,9916,9955,9891,10032,10051,10115,10194,20200301
Adams,Illinois,67160,67211,67139,66999,66966,66835,66475,66057,65623,65435,20200301
Alexander,Illinois,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761,20200301
Bond,Illinois,17787,17726,17537,17331,17070,16686,16546,16648,16637,16426,20200301
Boone,Illinois,54101,54131,53735,53747,53714,53579,53570,53513,53480,53544,20200301
Brown,Illinois,6919,6882,6890,6864,6832,6753,6637,6609,6563,6578,20200301
Bureau,Illinois,34959,34625,34342,34108,33856,33491,33396,33137,32959,32628,20200301
Calhoun,Illinois,5096,5049,4985,5008,4925,4860,4869,4851,4829,4739,20200301
Carroll,Illinois,15394,15229,15121,14969,14783,14642,14596,14475,14314,14305,20200301
Cass,Illinois,13633,13629,13427,13293,13081,12843,12672,12492,12312,12147,20200301
Champaign,Illinois,201546,203197,204630,206425,207942,209382,210198,210425,209918,209689,20200301
Christian,Illinois,34763,34702,34518,34148,33813,33463,33230,33007,32653,32304,20200301
Clark,Illinois,16291,16202,16259,16095,16047,15868,15857,15812,15600,15441,20200301
Clay,Illinois,13826,13725,13714,13554,13445,13401,13314,13270,13266,13184,20200301
Clinton,Illinois,37843,38031,37918,37731,37646,37665,37599,37645,37697,37562,20200301
Coles,Illinois,53866,53624,53318,53053,52523,52179,51783,51353,50829,50621,20200301
Cook,Illinois,5199016,5219780,5239351,5252875,5254675,5244088,5224272,5200821,5171960,5150233,20200301
Crawford,Illinois,19801,19776,19588,19435,19285,19255,19133,18975,18830,18667,20200301
Cumberland,Illinois,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766,20200301
DeKalb,Illinois,105145,104450,104365,104202,104560,104195,104080,104309,104349,104897,20200301
De Witt,Illinois,16590,16548,16491,16373,16217,16184,16137,15906,15794,15638,20200301
Douglas,Illinois,19983,19871,19888,19861,19906,19835,19727,19629,19458,19465,20200301
DuPage,Illinois,917983,924831,928666,932231,933425,933609,931256,930265,927247,922921,20200301
Edgar,Illinois,18508,18391,18158,17941,17807,17603,17519,17390,17360,17161,20200301
Edwards,Illinois,6734,6669,6721,6687,6628,6511,6536,6448,6387,6395,20200301
Effingham,Illinois,34224,34270,34273,34217,34122,34202,34170,34123,34181,34008,20200301
Fayette,Illinois,22131,22378,22163,22195,22076,22036,21570,21514,21368,21336,20200301
Ford,Illinois,14081,13881,13879,13672,13540,13529,13352,13298,13212,12961,20200301
Franklin,Illinois,40035,40033,39865,39555,39446,39383,39075,38995,38695,38469,20200301
Fulton,Illinois,37076,36910,36587,36323,35995,35713,35473,35104,34830,34340,20200301
Gallatin,Illinois,5573,5490,5390,5386,5278,5221,5157,5071,5045,4828,20200301
Greene,Illinois,13890,13856,13656,13633,13415,13345,13123,13156,13065,12969,20200301
Grundy,Illinois,50154,50099,50160,50187,50287,50363,50317,50622,50973,51054,20200301
Hamilton,Illinois,8446,8425,8388,8348,8314,8248,8186,8181,8148,8116,20200301
Hancock,Illinois,19091,18999,18829,18544,18324,18216,18205,17958,17828,17708,20200301
Hardin,Illinois,4319,4294,4281,4177,4149,4067,3991,3922,3893,3821,20200301
Henderson,Illinois,7343,7216,7043,6963,7011,6997,6886,6819,6697,6646,20200301
Henry,Illinois,50452,50283,50249,49917,49824,49638,49498,49219,49069,48913,20200301
Iroquois,Illinois,29701,29500,29267,28940,28719,28522,28163,27777,27484,27114,20200301
Jackson,Illinois,60373,60369,59066,59760,59359,59214,58726,57904,57289,56750,20200301
Jasper,Illinois,9725,9754,9672,9607,9633,9630,9583,9523,9624,9610,20200301
Jefferson,Illinois,38755,38749,38658,38641,38374,38272,38214,38045,37708,37684,20200301
Jersey,Illinois,22995,22879,22710,22599,22492,22260,21947,21912,21795,21773,20200301
Jo Daviess,Illinois,22648,22640,22543,22399,22341,22066,21814,21495,21331,21235,20200301
Johnson,Illinois,12604,12855,12856,12867,12887,12777,12454,12399,12423,12417,20200301
Kane,Illinois,516068,519110,520669,522626,525625,528760,530726,532272,532720,532403,20200301
Kankakee,Illinois,113418,113519,112974,112735,111883,111750,111080,110540,109953,109862,20200301
Kendall,Illinois,115373,116814,118246,119566,121374,122878,124535,126152,127717,128990,20200301
Knox,Illinois,52912,52705,52302,52129,51944,51370,50917,50577,49978,49699,20200301
Lake,Illinois,704170,701642,702083,704207,704294,704611,704158,702475,699587,696535,20200301
LaSalle,Illinois,113823,113533,112918,112430,111660,111019,110215,109622,109159,108669,20200301
Lawrence,Illinois,16940,16901,16728,16728,16562,16465,16182,16027,15813,15678,20200301
Lee,Illinois,35983,35609,35216,35121,34910,34521,34494,34540,34296,34096,20200301
Livingston,Illinois,38854,38805,38511,37394,37036,36605,36107,36124,35714,35648,20200301
Logan,Illinois,30283,30270,30358,29826,29660,29284,29166,29034,28912,28618,20200301
McDonough,Illinois,32634,32521,32558,32253,31799,31449,30907,30373,29984,29682,20200301
McHenry,Illinois,309112,308504,308230,307605,307404,307572,307159,307815,308251,307774,20200301
McLean,Illinois,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517,20200301
Macon,Illinois,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009,20200301
Macoupin,Illinois,47797,47739,47054,46680,46208,45876,45691,45505,45318,44926,20200301
Madison,Illinois,269310,268636,268072,267268,266566,265996,265641,265251,264026,262966,20200301
Marion,Illinois,39416,39141,39008,38669,38555,38359,38045,37726,37381,37205,20200301
Marshall,Illinois,12637,12487,12259,12128,11966,11925,11881,11668,11483,11438,20200301
Mason,Illinois,14651,14471,14322,14144,14103,13863,13675,13677,13533,13359,20200301
Massac,Illinois,15380,15281,15066,14847,14756,14567,14440,14291,14023,13772,20200301
Menard,Illinois,12696,12698,12691,12572,12508,12356,12398,12293,12289,12196,20200301
Mercer,Illinois,16409,16316,16163,16075,15901,15746,15602,15608,15551,15437,20200301
Monroe,Illinois,32994,33214,33260,33457,33540,33739,33913,34179,34373,34637,20200301
Montgomery,Illinois,30097,29864,29616,29362,29449,29192,29061,28781,28691,28414,20200301
Morgan,Illinois,35503,35481,35317,35000,34673,34673,34632,34245,34027,33658,20200301
Moultrie,Illinois,14859,14856,14874,14796,14751,14743,14610,14701,14648,14501,20200301
Ogle,Illinois,53414,53064,52776,52266,51931,51559,51148,50993,50781,50643,20200301
Peoria,Illinois,186222,186754,187317,188643,187512,186481,185043,182525,180620,179179,20200301
Perry,Illinois,22315,22263,21846,21714,21541,21521,21391,21281,21144,20916,20200301
Piatt,Illinois,16709,16679,16501,16429,16409,16350,16524,16422,16366,16344,20200301
Pike,Illinois,16394,16348,16234,16071,15956,15795,15742,15668,15595,15561,20200301
Pope,Illinois,4474,4498,4459,4457,4375,4291,4182,4183,4184,4177,20200301
Pulaski,Illinois,6126,5986,5962,5893,5797,5657,5604,5520,5434,5335,20200301
Putnam,Illinois,6012,5976,5910,5855,5832,5727,5710,5694,5736,5739,20200301
Randolph,Illinois,33464,33425,33075,33175,33138,32806,32414,32297,32177,31782,20200301
Richland,Illinois,16194,16190,16134,16008,16020,15957,15829,15837,15695,15513,20200301
Rock Island,Illinois,147610,147457,147672,147650,147035,146094,144943,143828,142621,141879,20200301
St. Clair,Illinois,270353,270048,268673,266831,265941,264858,263187,262600,261360,259686,20200301
Saline,Illinois,24902,24907,24914,24803,24496,24495,24230,23963,23789,23491,20200301
Sangamon,Illinois,197769,199038,199404,199141,199184,198898,198026,197072,195639,194672,20200301
Schuyler,Illinois,7535,7464,7456,7392,7261,7151,7030,6948,6870,6768,20200301
Scott,Illinois,5327,5229,5287,5211,5170,5110,5052,4983,4927,4951,20200301
Shelby,Illinois,22354,22278,22203,22137,22102,21819,21733,21774,21726,21634,20200301
Stark,Illinois,5969,5842,5739,5705,5601,5505,5512,5457,5418,5342,20200301
Stephenson,Illinois,47606,47323,46886,46671,46269,45668,45503,44997,44797,44498,20200301
Tazewell,Illinois,135486,135850,136127,136266,135353,134302,133932,133489,132450,131803,20200301
Union,Illinois,17731,17692,17608,17539,17402,17284,17105,16968,16832,16653,20200301
Vermilion,Illinois,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758,20200301
Wabash,Illinois,11916,11794,11686,11671,11599,11624,11542,11523,11523,11520,20200301
Warren,Illinois,17713,17836,17749,17662,17712,17455,17294,17144,16992,16844,20200301
Washington,Illinois,14712,14576,14599,14414,14392,14262,14179,13963,13999,13887,20200301
Wayne,Illinois,16738,16661,16656,16664,16594,16517,16542,16412,16326,16215,20200301
White,Illinois,14597,14590,14522,14434,14265,14204,14079,13903,13618,13537,20200301
Whiteside,Illinois,58486,58286,57766,57468,57021,56919,56476,55955,55553,55175,20200301
Will,Illinois,678824,680827,682477,683734,685158,685877,688328,690479,691149,690743,20200301
Williamson,Illinois,66432,66732,66776,67450,67412,67428,67454,67049,66982,66597,20200301
Winnebago,Illinois,295083,293642,292084,290945,288695,287148,286065,284681,283630,282572,20200301
Woodford,Illinois,38661,38844,38837,39027,39052,38930,38913,38670,38527,38459,20200301
Adams,Indiana,34444,34368,34400,34644,34758,34945,35178,35385,35595,35777,20200301
Allen,Indiana,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299,20200301
Bartholomew,Indiana,76818,77620,79001,79655,80497,81458,82231,82213,82722,83779,20200301
Benton,Indiana,8863,8856,8821,8748,8720,8693,8658,8631,8653,8748,20200301
Blackford,Indiana,12771,12656,12528,12461,12347,12242,12115,12028,11924,11758,20200301
Boone,Indiana,56916,57915,59033,60346,61631,63033,64192,65723,66930,67843,20200301
Brown,Indiana,15207,15076,15049,15055,14944,14994,14996,15010,15230,15092,20200301
Carroll,Indiana,20199,20043,20112,20113,19953,19887,19973,20067,20188,20257,20200301
Cass,Indiana,38985,38916,38771,38585,38487,38081,37905,37828,37895,37689,20200301
Clark,Indiana,110567,111490,111853,112688,114035,114819,115588,116545,117280,118302,20200301
Clay,Indiana,26854,26837,26788,26662,26430,26395,26210,26167,26175,26225,20200301
Clinton,Indiana,33221,33034,32890,32766,32462,32373,32207,32195,32192,32399,20200301
Crawford,Indiana,10708,10621,10669,10620,10668,10555,10583,10535,10594,10577,20200301
Daviess,Indiana,31720,31950,32116,32282,32680,32823,33010,33136,33278,33351,20200301
Dearborn,Indiana,50083,49986,49727,49739,49418,49455,49436,49564,49482,49458,20200301
Decatur,Indiana,25798,25902,26043,26236,26416,26339,26565,26620,26725,26559,20200301
DeKalb,Indiana,42336,42494,42328,42369,42428,42496,42652,42806,43208,43475,20200301
Delaware,Indiana,117665,117901,117027,116831,116487,115767,115657,115246,114297,114135,20200301
Dubois,Indiana,41905,42162,42083,42275,42297,42317,42450,42538,42674,42736,20200301
Elkhart,Indiana,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341,20200301
Fayette,Indiana,24325,24150,23947,23826,23442,23388,23252,23154,23076,23102,20200301
Floyd,Indiana,74709,74978,75260,76018,76094,76505,76734,77006,77834,78522,20200301
Fountain,Indiana,17276,17157,17117,16882,16693,16537,16457,16419,16390,16346,20200301
Franklin,Indiana,23059,23040,23032,22970,22982,22940,22770,22694,22706,22758,20200301
Fulton,Indiana,20817,20735,20638,20449,20517,20340,20118,19995,20053,19974,20200301
Gibson,Indiana,33545,33524,33527,33484,33723,33644,33644,33721,33610,33659,20200301
Grant,Indiana,69903,69616,69078,68845,68326,67479,66669,66305,66039,65769,20200301
Greene,Indiana,33207,33032,32944,32741,32646,32416,32228,32172,32059,31922,20200301
Hamilton,Indiana,276493,283368,289747,296858,302772,308428,315902,322933,330311,338011,20200301
Hancock,Indiana,70247,70363,70582,70980,71754,72413,73765,74998,76478,78168,20200301
Harrison,Indiana,39330,39188,39011,39000,39173,39532,39661,39777,40214,40515,20200301
Hendricks,Indiana,145954,148664,150735,153555,155845,157776,160376,163622,166908,170311,20200301
Henry,Indiana,49530,49216,49112,48843,48886,48655,48345,48170,48131,47972,20200301
Howard,Indiana,82752,82797,82839,82738,82605,82338,82304,82210,82257,82544,20200301
Huntington,Indiana,37117,37167,36979,36777,36609,36518,36294,36222,36243,36520,20200301
Jackson,Indiana,42586,42917,42986,43437,43703,43875,43997,43955,44068,44231,20200301
Jasper,Indiana,33496,33427,33492,33423,33512,33478,33405,33424,33365,33562,20200301
Jay,Indiana,21179,21335,21348,21270,21139,21137,21017,20883,20727,20436,20200301
Jefferson,Indiana,32395,32272,32436,32390,32402,32297,32230,32013,32157,32308,20200301
Jennings,Indiana,28481,28155,28145,28227,27916,27834,27648,27652,27679,27735,20200301
Johnson,Indiana,140269,141734,143475,145410,147085,148962,151540,153820,156093,158167,20200301
Knox,Indiana,38391,38473,37974,38055,37961,37760,37333,37044,36596,36594,20200301
Kosciusko,Indiana,77340,77353,77603,77865,78371,78547,78732,79026,79416,79456,20200301
LaGrange,Indiana,37159,37469,37662,38089,38435,38616,39113,39248,39375,39614,20200301
Lake,Indiana,495947,494954,493390,491732,491027,487908,486092,484601,484440,485493,20200301
LaPorte,Indiana,111459,111317,111304,111423,111735,110835,110222,109842,109981,109888,20200301
Lawrence,Indiana,46102,46141,46116,45896,45651,45568,45578,45592,45630,45370,20200301
Madison,Indiana,131619,131002,130197,130303,129736,129388,129329,129418,129573,129569,20200301
Marion,Indiana,904591,911217,919786,929922,935935,939843,945685,950537,958700,964582,20200301
Marshall,Indiana,47000,46938,46942,46910,46920,46733,46586,46433,46296,46258,20200301
Martin,Indiana,10359,10336,10317,10233,10238,10216,10190,10181,10219,10255,20200301
Miami,Indiana,36810,36649,36529,36167,36070,36004,36043,35864,35646,35516,20200301
Monroe,Indiana,138566,140233,141484,142068,143403,144247,145757,146638,147230,148431,20200301
Montgomery,Indiana,38098,38338,38177,38137,38150,38243,38238,38343,38274,38338,20200301
Morgan,Indiana,69138,69233,69177,69344,69495,69559,69633,69793,70137,70489,20200301
Newton,Indiana,14233,14086,14043,14028,14087,13971,13992,14027,13986,13984,20200301
Noble,Indiana,47454,47294,47190,47240,47367,47515,47398,47329,47543,47744,20200301
Ohio,Indiana,6086,6052,6055,5986,5957,5877,5885,5854,5879,5875,20200301
Orange,Indiana,19814,19945,19747,19835,19771,19634,19473,19423,19548,19646,20200301
Owen,Indiana,21566,21489,21368,21153,21019,20826,20898,20791,20862,20799,20200301
Parke,Indiana,17275,17084,17118,17237,17236,16970,16938,16907,16978,16937,20200301
Perry,Indiana,19409,19423,19371,19417,19334,19310,18978,18978,19077,19169,20200301
Pike,Indiana,12720,12596,12618,12495,12490,12407,12391,12315,12388,12389,20200301
Porter,Indiana,164487,165511,165702,166478,167166,167334,167475,168495,169488,170389,20200301
Posey,Indiana,25861,25695,25616,25561,25603,25613,25639,25569,25554,25427,20200301
Pulaski,Indiana,13323,13229,13009,12939,12916,12804,12618,12529,12492,12353,20200301
Putnam,Indiana,37909,37867,37640,37494,37451,37382,37113,37363,37486,37576,20200301
Randolph,Indiana,26178,26033,25857,25617,25331,25138,25112,24907,24806,24665,20200301
Ripley,Indiana,28815,28645,28447,28296,28340,28372,28381,28428,28450,28324,20200301
Rush,Indiana,17384,17285,17108,16996,16845,16708,16639,16643,16635,16581,20200301
St. Joseph,Indiana,266797,266680,266492,267054,267848,268361,269862,270057,270972,271826,20200301
Scott,Indiana,24171,23907,23723,23755,23636,23660,23687,23793,23784,23873,20200301
Shelby,Indiana,44297,44280,44257,44333,44358,44341,44229,44367,44522,44729,20200301
Spencer,Indiana,20915,20969,20783,20762,20762,20640,20491,20440,20385,20277,20200301
Starke,Indiana,23345,23171,23160,23139,22956,22860,23019,22935,22951,22995,20200301
Steuben,Indiana,34109,34068,34158,34371,34491,34469,34329,34384,34487,34594,20200301
Sullivan,Indiana,21390,21218,21203,21138,20995,20874,20710,20700,20696,20669,20200301
Switzerland,Indiana,10717,10632,10462,10598,10564,10614,10641,10686,10731,10751,20200301
Tippecanoe,Indiana,173104,175861,179124,181953,184433,186723,190292,191199,193817,195732,20200301
Tipton,Indiana,15878,15816,15659,15544,15405,15249,15163,15137,15112,15148,20200301
Union,Indiana,7537,7496,7352,7307,7241,7185,7139,7159,7029,7054,20200301
Vanderburgh,Indiana,179842,180468,181040,181580,181934,181504,181427,180954,181120,181451,20200301
Vermillion,Indiana,16116,16072,15923,15852,15659,15593,15593,15503,15510,15498,20200301
Vigo,Indiana,107888,108330,108523,108200,107920,107533,107790,107569,107367,107038,20200301
Wabash,Indiana,32848,32567,32386,32269,32100,31860,31513,31380,31198,30996,20200301
Warren,Indiana,8521,8470,8392,8369,8339,8270,8165,8204,8280,8265,20200301
Warrick,Indiana,59839,60201,60347,60852,60956,61522,62005,62401,62474,62998,20200301
Washington,Indiana,28292,28196,27913,27779,27886,27774,27728,27771,27932,28036,20200301
Wayne,Indiana,68889,68636,68224,67785,67378,66972,66630,66179,66046,65884,20200301
Wells,Indiana,27682,27738,27707,27715,27814,27851,27865,27958,28083,28296,20200301
White,Indiana,24683,24592,24466,24401,24433,24274,24074,24163,24133,24102,20200301
Whitley,Indiana,33353,33358,33335,33283,33444,33444,33475,33722,34047,33964,20200301
Adair,Iowa,7679,7546,7468,7387,7368,7145,7005,7051,7074,7152,20200301
Adams,Iowa,4023,3994,3910,3891,3877,3754,3692,3657,3644,3602,20200301
Allamakee,Iowa,14378,14222,14149,14071,14062,13874,13851,13803,13852,13687,20200301
Appanoose,Iowa,12856,12848,12707,12654,12671,12577,12505,12353,12401,12426,20200301
Audubon,Iowa,6098,6004,5865,5863,5771,5711,5626,5550,5471,5496,20200301
Benton,Iowa,26046,26078,25830,25699,25623,25608,25644,25656,25625,25645,20200301
Black Hawk,Iowa,131162,131584,131878,132933,133390,133701,133077,132238,131723,131228,20200301
Boone,Iowa,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234,20200301
Bremer,Iowa,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062,20200301
Buchanan,Iowa,20974,20911,20994,21026,21131,21105,21007,21126,21178,21175,20200301
Buena Vista,Iowa,20356,20311,20561,20649,20606,20374,20325,20144,19826,19620,20200301
Butler,Iowa,14916,14966,14971,14975,14959,14881,14702,14592,14525,14439,20200301
Calhoun,Iowa,10160,10064,9913,9898,9845,9801,9811,9729,9711,9668,20200301
Carroll,Iowa,20824,20860,20654,20541,20499,20423,20388,20274,20153,20165,20200301
Cass,Iowa,13928,13765,13700,13572,13395,13351,13176,13144,12948,12836,20200301
Cedar,Iowa,18450,18358,18296,18226,18276,18254,18348,18490,18564,18627,20200301
Cerro Gordo,Iowa,44097,43971,43699,43528,43206,42983,43096,42999,42642,42450,20200301
Cherokee,Iowa,12110,12024,11951,11874,11801,11483,11394,11307,11295,11235,20200301
Chickasaw,Iowa,12410,12405,12287,12274,12252,12151,12094,12002,11952,11933,20200301
Clarke,Iowa,9320,9317,9341,9245,9196,9219,9288,9396,9502,9395,20200301
Clay,Iowa,16634,16597,16539,16438,16484,16498,16295,16141,16106,16016,20200301
Clayton,Iowa,18080,18017,17946,17793,17768,17726,17661,17648,17540,17549,20200301
Clinton,Iowa,49096,49102,48701,48281,47895,47558,47248,46874,46437,46429,20200301
Crawford,Iowa,17170,17217,17299,17360,17168,17082,17103,17076,17089,16820,20200301
Dallas,Iowa,66750,69696,72235,74949,77739,80631,84248,87208,89953,93453,20200301
Davis,Iowa,8776,8771,8707,8769,8756,8777,8884,8969,8972,9000,20200301
Decatur,Iowa,8418,8249,8239,8216,8209,8137,8053,7947,7890,7870,20200301
Delaware,Iowa,17764,17632,17567,17473,17395,17393,17288,17143,17081,17011,20200301
Des Moines,Iowa,40241,40066,40229,40395,40096,39874,39613,39326,39149,38967,20200301
Dickinson,Iowa,16670,16859,16925,16878,16840,17004,17109,17141,17121,17258,20200301
Dubuque,Iowa,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311,20200301
Emmet,Iowa,10276,10089,9944,9880,9821,9702,9581,9422,9277,9208,20200301
Fayette,Iowa,20860,20976,20774,20519,20290,20142,19858,19687,19679,19650,20200301
Floyd,Iowa,16309,16095,16087,16023,15999,15910,15857,15767,15752,15642,20200301
Franklin,Iowa,10706,10693,10509,10507,10433,10319,10177,10160,10085,10070,20200301
Fremont,Iowa,7434,7371,7141,7069,7030,6912,6947,6930,6981,6960,20200301
Greene,Iowa,9362,9332,9181,9159,9124,8944,9001,8954,8965,8888,20200301
Grundy,Iowa,12463,12478,12437,12341,12390,12405,12286,12298,12272,12232,20200301
Guthrie,Iowa,10937,10859,10762,10671,10686,10649,10642,10645,10720,10689,20200301
Hamilton,Iowa,15633,15467,15321,15343,15217,15218,15075,15032,14886,14773,20200301
Hancock,Iowa,11297,11292,11175,11131,11040,11028,10887,10756,10710,10630,20200301
Hardin,Iowa,17543,17375,17359,17388,17332,17253,17196,17073,16937,16846,20200301
Harrison,Iowa,14909,14764,14475,14357,14265,14139,14046,14107,14105,14049,20200301
Henry,Iowa,20106,20243,19992,20021,19834,19843,19833,20044,20033,19954,20200301
Howard,Iowa,9568,9546,9548,9439,9353,9313,9257,9229,9172,9158,20200301
Humboldt,Iowa,9792,9782,9723,9677,9636,9556,9530,9569,9559,9558,20200301
Ida,Iowa,7066,7046,7044,7074,6971,6968,6961,6869,6846,6860,20200301
Iowa,Iowa,16335,16323,16180,16281,16317,16282,16192,16133,16155,16184,20200301
Jackson,Iowa,19830,19734,19685,19517,19431,19366,19393,19382,19427,19439,20200301
Jasper,Iowa,36812,36622,36574,36728,36886,36750,36736,36995,37189,37185,20200301
Jefferson,Iowa,16837,17096,17278,17629,17793,17906,18063,18219,18256,18295,20200301
Johnson,Iowa,131337,134086,137103,140151,142730,144943,146928,149325,150549,151140,20200301
Jones,Iowa,20689,20743,20601,20519,20548,20433,20392,20618,20673,20681,20200301
Keokuk,Iowa,10508,10398,10427,10337,10283,10171,10170,10141,10213,10246,20200301
Kossuth,Iowa,15525,15400,15413,15332,15229,15158,15104,14939,14878,14813,20200301
Lee,Iowa,35849,35569,35541,35236,35059,34894,34458,34216,33909,33657,20200301
Linn,Iowa,211705,214207,215485,216488,218129,220271,222188,224379,225763,226706,20200301
Louisa,Iowa,11382,11381,11360,11348,11250,11285,11221,11195,11153,11035,20200301
Lucas,Iowa,8898,8880,8778,8697,8636,8610,8555,8533,8617,8600,20200301
Lyon,Iowa,11567,11692,11757,11695,11703,11747,11780,11785,11815,11755,20200301
Madison,Iowa,15739,15740,15641,15483,15616,15720,15796,16000,16206,16338,20200301
Mahaska,Iowa,22408,22501,22398,22421,22363,22312,22186,22211,22018,22095,20200301
